PlayerHand,2,3,4,5,6,7,8,9,10,A
2,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit
3,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit
4,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit
5,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit
6,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit
7,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit
8,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit
9,Hit,Double,Double,Double,Double,Hit,Hit,Hit,Hit,Hit
10,Double,Double,Double,Double,Double,Double,Double,Double,Hit,Hit
11,Double,Double,Double,Double,Double,Double,Double,Double,Double,Hit
12,Hit,Hit,Stand,Stand,Stand,Hit,Hit,Hit,Hit,Hit
13,Stand,Stand,Stand,Stand,Stand,Hit,Hit,Hit,Hit,Hit
14,Stand,Stand,Stand,Stand,Stand,Hit,Hit,Hit,Hit,Hit
15,Stand,Stand,Stand,Stand,Stand,Hit,Hit,Hit,Hit,Hit
16,Stand,Stand,Stand,Stand,Stand,Hit,Hit,Hit,Hit,Hit
17,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand
18,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand
19,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand
20,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand
21,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand
"A,1",Split,Split,Split,Split,Split,Split,Split,Split,Split,Split
"A,2",Hit,Hit,Hit,Double,Double,Hit,Hit,Hit,Hit,Hit
"A,3",Hit,Hit,Hit,Double,Double,Hit,Hit,Hit,Hit,Hit
"A,4",Hit,Hit,Double,Double,Double,Hit,Hit,Hit,Hit,Hit
"A,5",Hit,Hit,Double,Double,Double,Hit,Hit,Hit,Hit,Hit
"A,6",Hit,Double,Double,Double,Double,Hit,Hit,Hit,Hit,Hit
"A,7",Stand,Stand,Stand,Stand,Stand,Stand,Stand,Hit,Hit,Hit
"A,8",Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand
"A,9",Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand
"A,10",Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand
"2,2",Split,Split,Split,Split,Split,Split,Hit,Hit,Hit,Hit
"3,3",Split,Split,Split,Split,Split,Split,Hit,Hit,Hit,Hit
"4,4",Hit,Hit,Hit,Split,Split,Hit,Hit,Hit,Hit,Hit
"5,5",Double,Double,Double,Double,Double,Double,Double,Double,Hit,Hit
"6,6",Split,Split,Split,Split,Split,Hit,Hit,Hit,Hit,Hit
"7,7",Split,Split,Split,Split,Split,Split,Hit,Hit,Hit,Hit
"8,8",Split,Split,Split,Split,Split,Split,Split,Split,Split,Split
"9,9",Split,Split,Split,Split,Split,Stand,Split,Split,Stand,Stand
"10,10",Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand
"A,A",Split,Split,Split,Split,Split,Split,Split,Split,Split,Split
